Gm#,Date,Season,Attendance
622,'12-Aug-21',2021,16559
623,'20-Aug-21',2021,22755
624,'21-Aug-21',2021,31406
625,'22-Aug-21',2021,1832
626,'24-Aug-21',2021,11369
627,'25-Aug-21',2021,11398
628,'26-Aug-21',2021,10827
629,'27-Aug-21',2021,20881
630,'28-Aug-21',2021,26221
631,'29-Aug-21',2021,22883
632,'6-Sep-21',2021,12675
633,'7-Sep-21',2021,10448
634,'8-Sep-21',2021,11037
635,'9-Sep-21',2021,11846
636,'10-Sep-21',2021,17667
637,'11-Sep-21',2021,20100
638,'12-Sep-21',2021,16332
639,'20-Sep-21',2021,0
640,'20-Sep-21',2021,11459
641,'21-Sep-21',2021,23341
642,'23-Sep-21',2021,11851
643,'23-Sep-21',2021,11336
644,'24-Sep-21',2021,18576
645,'25-Sep-21',2021,24082
646,'26-Sep-21',2021,21957
647,'27-Sep-21',2021,13121
648,'1-Apr-21',2021,20570
649,'2-Apr-21',2021,20363
650,'3-Apr-21',2021,20688
651,'4-Apr-21',2021,20368
652,'6-Apr-21',2021,10240
653,'7-Apr-21',2021,12894
654,'8-Apr-21',2021,10836
655,'17-Apr-21',2021,0
656,'17-Apr-21',2021,13906
657,'18-Apr-21',2021,15082
658,'20-Apr-21',2021,10144
659,'21-Apr-21',2021,7120
660,'23-Apr-21',2021,14025
661,'24-Apr-21',2021,20214
662,'25-Apr-21',2021,20244
663,'4-May-21',2021,0
664,'4-May-21',2021,10213
665,'5-May-21',2021,9521
666,'11-May-21',2021,8825
667,'12-May-21',2021,0
668,'12-May-21',2021,11968
669,'13-May-21',2021,13647
670,'14-May-21',2021,20232
671,'15-May-21',2021,20136
672,'16-May-21',2021,15541
673,'21-May-21',2021,18158
674,'22-May-21',2021,20183
675,'23-May-21',2021,19221
676,'1-Jun-21',2021,18028
677,'2-Jun-21',2021,19289
678,'3-Jun-21',2021,19150
679,'4-Jun-21',2021,26790
680,'5-Jun-21',2021,27459
681,'6-Jun-21',2021,23716
682,'14-Jun-21',2021,23027
683,'15-Jun-21',2021,22871
684,'16-Jun-21',2021,18798
685,'17-Jun-21',2021,22756
686,'18-Jun-21',2021,27117
687,'19-Jun-21',2021,34198
688,'20-Jun-21',2021,34224
689,'28-Jun-21',2021,32092
690,'29-Jun-21',2021,27915
691,'30-Jun-21',2021,20270
692,'1-Jul-21',2021,30410
693,'2-Jul-21',2021,47224
694,'3-Jul-21',2021,48182
695,'4-Jul-21',2021,36891
696,'16-Jul-21',2021,44251
697,'17-Jul-21',2021,48245
698,'18-Jul-21',2021,35513
699,'20-Jul-21',2021,30715
700,'21-Jul-21',2021,25053
701,'3-Aug-21',2021,38188
702,'4-Aug-21',2021,36205
703,'5-Aug-21',2021,30462
704,'6-Aug-21',2021,28281
705,'7-Aug-21',2021,39896
706,'8-Aug-21',2021,34677
707,'16-Aug-21',2021,24565
708,'17-Aug-21',2021,28139
709,'18-Aug-21',2021,20692
710,'20-Aug-21',2021,30243
711,'21-Aug-21',2021,32699
712,'22-Aug-21',2021,24552
713,'2-Sep-21',2021,21481
714,'3-Sep-21',2021,24371
715,'4-Sep-21',2021,35351
716,'5-Sep-21',2021,33957
717,'6-Sep-21',2021,27967
718,'7-Sep-21',2021,24387
719,'8-Sep-21',2021,20358
720,'21-Sep-21',2021,23869
721,'22-Sep-21',2021,27013
722,'23-Sep-21',2021,22356
723,'24-Sep-21',2021,41613
724,'25-Sep-21',2021,45063
725,'26-Sep-21',2021,31043
726,'27-Sep-21',2021,20388
727,'28-Sep-21',2021,21693
728,'29-Sep-21',2021,20613
729,'1-Apr-21',2021,8000
730,'3-Apr-21',2021,8000
731,'4-Apr-21',2021,8000
732,'5-Apr-21',2021,7232
733,'6-Apr-21',2021,7306
734,'7-Apr-21',2021,7568
735,'21-Apr-21',2021,7356
736,'21-Apr-21',2021,7461
737,'22-Apr-21',2021,7314
738,'23-Apr-21',2021,8000
739,'24-Apr-21',2021,8000
740,'25-Apr-21',2021,8000
741,'26-Apr-21',2021,7288
742,'7-May-21',2021,7377
743,'8-May-21',2021,8000
744,'11-May-21',2021,7312
745,'12-May-21',2021,7133
746,'13-May-21',2021,7369
747,'14-May-21',2021,8000
748,'15-May-21',2021,8000
749,'16-May-21',2021,8000
750,'24-May-21',2021,7832
751,'25-May-21',2021,8000
752,'26-May-21',2021,7525
753,'27-May-21',2021,8000
754,'28-May-21',2021,8000
755,'29-May-21',2021,8000
756,'30-May-21',2021,8000
757,'8-Jun-21',2021,9081
