Gm#,Date,Tm,Opp,Attendance,,,,,,,,,,,,,,,,,
165,"Tuesday, Apr 13 (1)",BAL,SEA,,,,,,,,,,,,,,,,,,
166,"Tuesday, Apr 13 (2)",BAL,SEA,"4,147",,,,,,,,,,,,,,,,,
167,"Thursday, Apr 15 (1)",BAL,SEA,,,,,,,,,,,,,,,,,,
168,"Thursday, Apr 15 (2)",BAL,SEA,"5,060",,,,,,,,,,,,,,,,,
169,"Friday, Apr 23",BAL,OAK,"7,574",,,,,,,,,,,,,,,,,
170,"Saturday, Apr 24",BAL,OAK,"7,616",,,,,,,,,,,,,,,,,
171,"Sunday, Apr 25",BAL,OAK,"8,107",,,,,,,,,,,,,,,,,
172,"Monday, Apr 26",BAL,NYY,"6,367",,,,,,,,,,,,,,,,,
173,"Tuesday, Apr 27",BAL,NYY,"6,662",,,,,,,,,,,,,,,,,
174,"Wednesday, Apr 28",BAL,NYY,"7,338",,,,,,,,,,,,,,,,,
175,"Thursday, Apr 29",BAL,NYY,"7,738",,,,,,,,,,,,,,,,,
176,"Friday, May 7",BAL,BOS,"7,724",,,,,,,,,,,,,,,,,
177,"Saturday, May 8",BAL,BOS,"10,598",,,,,,,,,,,,,,,,,
178,"Sunday, May 9",BAL,BOS,"10,274",,,,,,,,,,,,,,,,,
179,"Monday, May 10",BAL,BOS,"6,826",,,,,,,,,,,,,,,,,
180,"Friday, May 14",BAL,NYY,"10,809",,,,,,,,,,,,,,,,,
181,"Saturday, May 15",BAL,NYY,"10,767",,,,,,,,,,,,,,,,,
182,"Sunday, May 16",BAL,NYY,"11,070",,,,,,,,,,,,,,,,,
183,"Tuesday, May 18",BAL,TBR,"5,429",,,,,,,,,,,,,,,,,
184,"Wednesday, May 19",BAL,TBR,"6,581",,,,,,,,,,,,,,,,,
185,"Thursday, May 20",BAL,TBR,"6,916",,,,,,,,,,,,,,,,,
186,"Monday, May 31",BAL,MIN,"11,010",,,,,,,,,,,,,,,,,
187,"Tuesday, Jun 1",BAL,MIN,"5,337",,,,,,,,,,,,,,,,,
188,"Wednesday, Jun 2",BAL,MIN,"5,945",,,,,,,,,,,,,,,,,
189,"Friday, Jun 4",BAL,CLE,"12,009",,,,,,,,,,,,,,,,,
190,"Saturday, Jun 5",BAL,CLE,"9,969",,,,,,,,,,,,,,,,,
191,"Sunday, Jun 6",BAL,CLE,"9,423",,,,,,,,,,,,,,,,,
192,"Tuesday, Jun 8",BAL,NYM,"9,431",,,,,,,,,,,,,,,,,
193,"Wednesday, Jun 9",BAL,NYM,"9,584",,,,,,,,,,,,,,,,,
194,"Friday, Jun 18",BAL,TOR,"13,284",,,,,,,,,,,,,,,,,
195,"Saturday, Jun 19",BAL,TOR,"10,721",,,,,,,,,,,,,,,,,
196,"Sunday, Jun 20",BAL,TOR,"14,917",,,,,,,,,,,,,,,,,
197,"Monday, Jun 21",BAL,HOU,"7,414",,,,,,,,,,,,,,,,,
198,"Tuesday, Jun 22",BAL,HOU,"8,510",,,,,,,,,,,,,,,,,
199,"Wednesday, Jun 23",BAL,HOU,"10,013",,,,,,,,,,,,,,,,,
200,"Tuesday, Jul 6",BAL,TOR,"7,388",,,,,,,,,,,,,,,,,
201,"Wednesday, Jul 7",BAL,TOR,"7,457",,,,,,,,,,,,,,,,,
202,"Friday, Jul 9",BAL,CHW,"12,077",,,,,,,,,,,,,,,,,
203,"Saturday, Jul 10",BAL,CHW,"26,391",,,,,,,,,,,,,,,,,
204,"Sunday, Jul 11",BAL,CHW,"11,600",,,,,,,,,,,,,,,,,
205,"Friday, Jul 23",BAL,WSN,"17,022",,,,,,,,,,,,,,,,,
206,"Saturday, Jul 24",BAL,WSN,"30,898",,,,,,,,,,,,,,,,,
207,"Sunday, Jul 25",BAL,WSN,"15,690",,,,,,,,,,,,,,,,,
208,"Tuesday, Jul 27",BAL,MIA,"10,098",,,,,,,,,,,,,,,,,
209,"Wednesday, Jul 28",BAL,MIA,"8,363",,,,,,,,,,,,,,,,,
210,"Friday, Aug 6",BAL,TBR,"11,320",,,,,,,,,,,,,,,,,
211,"Saturday, Aug 7",BAL,TBR,"18,545",,,,,,,,,,,,,,,,,
212,"Sunday, Aug 8",BAL,TBR,"10,576",,,,,,,,,,,,,,,,,
213,"Tuesday, Aug 10",BAL,DET,"7,124",,,,,,,,,,,,,,,,,
214,"Wednesday, Aug 11",BAL,DET,"8,990",,,,,,,,,,,,,,,,,
215,"Thursday, Aug 12",BAL,DET,"8,382",,,,,,,,,,,,,,,,,
216,"Friday, Aug 20",BAL,ATL,"13,583",,,,,,,,,,,,,,,,,
217,"Saturday, Aug 21",BAL,ATL,"15,774",,,,,,,,,,,,,,,,,
218,"Sunday, Aug 22",BAL,ATL,"11,180",,,,,,,,,,,,,,,,,
